Y,X,Type
43.0012174,-71.07292641,A
40.79211771,-74.02160965,A
40.7828707,-74.00453593,A
40.79021568,-74.01803868,A
40.75224884,-74.00153018,A
40.75074014,-73.99788816,A
40.75311365,-74.00387804,A
40.74615906,-73.99468552,A
40.7479242,-74.00067464,A
40.74386746,-73.98743664,A
40.74633298,-73.98732193,A
40.75114042,-74.0025262,A
40.74803702,-73.98957222,A
40.7448713,-73.99127283,A
40.74854371,-74.00352466,A
40.74615906,-73.99468552,A
40.74860322,-74.00348417,A
40.75313112,-73.9957786,A
40.7446131,-73.99297243,A
40.75188842,-73.99476171,A
40.7469348,-73.98681734,A
40.7520509,-73.99895426,A
40.74615906,-73.99468552,A
40.74615906,-73.99468552,A
40.74615906,-73.99468552,A
40.7502897,-73.99669684,A
40.75201562,-74.00270885,A
40.74757606,-73.98523459,A
40.75311365,-74.00387804,A
40.74864833,-73.99497163,A
40.74626077,-73.99302297,A
40.74509745,-73.99493673,A
40.75352038,-74.00190653,A
40.74835059,-73.98892692,A
40.72076704,-73.99258367,A
40.72138458,-73.98317482,A
40.71039536,-73.98764263,A
40.71338393,-73.98982863,A
40.71576569,-73.98632474,A
40.71099861,-73.9911093,A
40.71777571,-73.98376549,A
40.71866541,-73.98531371,A
40.7197406,-73.98715689,A
40.71866541,-73.98531371,A
40.72011032,-73.98358235,A
40.71873766,-73.98326107,A
40.72046907,-73.9889932,A
40.71657316,-73.98638291,A
40.72116212,-73.99359093,A
40.72146014,-73.98415592,A
40.72111749,-73.98867033,A
40.72331435,-73.99125615,A
40.71983669,-73.98325445,A
40.72204801,-73.98538437,A
40.71039536,-73.98764263,A
40.71657316,-73.98638291,A
40.72116212,-73.99359093,A
40.71851629,-73.98239706,A
40.7199014,-73.98787715,A
40.71928877,-73.99104048,A
40.72132394,-73.99352672,A
40.71777571,-73.98376549,A
40.7182811,-73.98551723,A
40.7220846,-73.98817488,A
40.71777571,-73.98376549,A
40.71826911,-73.98775595,A
40.72082961,-73.98971162,A
40.71657316,-73.98638291,A
40.71972207,-73.98728531,A
40.7135752,-73.98103148,A
40.7135752,-73.98103148,A
40.71962044,-73.98475338,A
40.71965016,-73.98941238,A
40.71639726,-73.99166443,A
40.72067702,-73.98427461,A
40.71488651,-73.99014027,A
40.71903723,-73.99154449,A
40.71657316,-73.98638291,A
40.7225816,-73.9923784,A
40.70993804,-73.99136704,A
40.71729819,-73.98341513,A
40.71927875,-73.98960399,A
40.72087848,-73.98790582,A
40.71544873,-73.99070462,A
40.71657316,-73.98638291,A
40.72245172,-73.9898008,A
40.72077735,-73.98325227,A
40.72067702,-73.98427461,A
40.72087848,-73.98790582,A
40.71841755,-73.98300123,A
40.72331435,-73.99125615,A
40.71657316,-73.98638291,A
40.72077463,-73.9893786,A
40.71714015,-73.99043346,A
40.71913303,-73.98306041,A
40.72331435,-73.99125615,A
40.71855169,-73.98444171,A
40.72132411,-73.98946477,A
40.72076704,-73.99258367,A
40.73665796,-73.98735429,A
40.73506944,-73.98170246,A
40.72727375,-73.99160836,A
40.72567456,-73.99016927,A
40.7332407,-73.9872061,A
40.73295479,-73.99042743,A
40.72415312,-73.99044344,A
40.73179201,-73.99332941,A
40.72849067,-73.98924491,A
40.72421993,-73.98872515,A
40.72745111,-73.98678918,A
40.7236803,-73.98933518,A
40.72579816,-73.98845391,A
40.72831076,-73.98896043,A
40.73296858,-73.98739779,A
40.73661119,-73.9890678,A
40.73674375,-73.98407085,A
40.73070819,-73.99275668,A
40.73264827,-73.98478063,A
40.73476843,-73.98650202,A
40.72994066,-73.99184607,A
40.73220017,-73.99248385,A
40.73624188,-73.98271616,A
40.72896501,-73.98846145,A
40.73212662,-73.9851646,A
40.73426824,-73.99243381,A
40.73002205,-73.99233658,A
40.7341889,-73.99488979,A
40.73137359,-73.99245979,A
40.73033905,-73.99370526,A
40.7294665,-73.98704533,A
40.73070819,-73.99275668,A
40.73286745,-73.98625148,A
40.72849067,-73.98924491,A
40.72896501,-73.98846145,A
40.72547331,-73.98968965,A
40.73174801,-73.98757364,A
40.73535256,-73.98607311,A
40.73028998,-73.99462609,A
40.73304871,-73.99077771,A
40.7236803,-73.98933518,A
40.72862743,-73.98583758,A
40.73006815,-73.9865425,A
40.72648631,-73.98917149,A
40.72999833,-73.98542218,A
40.73033905,-73.99370526,A
40.73334887,-73.98528924,A
40.73476843,-73.98650202,A
40.73026605,-73.98405324,A
40.73174801,-73.98757364,A
40.73070819,-73.99275668,A
40.73403048,-73.98128093,A
40.73113269,-73.99375748,A
40.73033905,-73.99370526,A
40.73586298,-73.983796,A
40.73553118,-73.98648819,A
40.73476843,-73.98650202,A
40.73200856,-73.98525328,A
40.73454098,-73.98338831,A
40.7248515,-73.98820857,A
40.7244322,-73.98923636,A
40.73439853,-73.98989627,A
40.72534055,-73.98937324,A
40.73684785,-73.98869799,A
40.7307838,-73.99042458,A
40.73049516,-73.98659254,A
40.73049516,-73.98659254,A
40.72944986,-73.98609977,A
40.73160581,-73.9928783,A
40.72627303,-73.9897148,A
40.73509771,-73.98290878,A
40.73066599,-73.98513317,A
40.72564665,-73.98823313,A
40.73490233,-73.98514532,A
40.73275505,-73.98584504,A
40.73239383,-73.98910242,A
40.73632847,-73.98709738,A
40.73314716,-73.98905774,A
40.7353858,-73.99162713,A
40.73109841,-73.98814412,A
40.7336007,-73.9879836,A
40.73353604,-73.99101718,A
40.73002205,-73.99233658,A
40.7340493,-73.9890476,A
40.73363469,-73.98595317,A
40.73208483,-73.98850244,A
40.72841452,-73.99275031,A
40.73007242,-73.99419727,A
40.72921739,-73.99354391,A
40.73562196,-73.99264386,A
40.73056298,-73.98326143,A
40.73562196,-73.99264386,A
40.73723002,-73.98637553,A
40.73092465,-73.98594093,A
40.73033905,-73.99370526,A
40.73286159,-73.99220817,A
40.7322751,-73.98881693,A
40.72706013,-73.98874418,A
40.73262153,-73.99348573,A
40.73033905,-73.99370526,A
40.73095085,-73.98780104,A
40.73264827,-73.98478063,A
40.72565294,-73.9898479,A
40.73033905,-73.99370526,A
40.73449807,-73.98842843,A
40.72663622,-73.98871777,A
40.72886048,-73.98821578,A
40.73002205,-73.99233658,A
40.73624188,-73.98271616,A
40.7307838,-73.99042458,A
40.73449807,-73.98842843,A
40.73475703,-73.98465406,A
40.73202813,-73.98411393,A
40.73031923,-73.98983525,A
40.73449807,-73.98842843,A
40.72866426,-73.98965495,A
40.73426824,-73.99243381,A
40.73806453,-73.99084376,A
40.73049516,-73.98659254,A
40.7281002,-73.98656899,A
40.73803569,-73.99209275,A
40.73487819,-73.98147103,A
40.73070819,-73.99275668,A
40.73002205,-73.99233658,A
40.73262153,-73.99348573,A
40.73094678,-73.98965395,A
40.702817,-74.00982784,A
40.70612973,-74.01126752,A
40.70514217,-74.01149358,A
40.70600475,-74.01650294,A
40.70564047,-74.01624562,A
40.70404037,-74.01155234,A
40.70256507,-74.01263813,A
40.70600475,-74.01650294,A
40.70632029,-74.01598813,A
40.70564655,-74.0082155,A
40.70753005,-74.00989809,A
40.70650314,-74.01111556,A
40.70650314,-74.01111556,A
40.70753005,-74.00989809,A
40.70753005,-74.00989809,A
40.70664626,-74.0099871,A
40.70629292,-74.00783262,A
40.70509188,-74.0073603,A
40.70753005,-74.00989809,A
40.70431504,-74.00915512,A
40.70509188,-74.0073603,A
40.70650314,-74.01111556,A
40.70696377,-74.01230043,A
40.70431504,-74.00915512,A
40.70646303,-74.00968225,A
40.70629292,-74.00783262,A
40.70596079,-74.00876762,A
40.70775309,-74.01372267,A
40.70942889,-74.01106409,A
40.70729401,-74.01210303,A
40.70864857,-74.01335152,A
40.71006449,-74.01465616,A
40.70792379,-74.01538689,A
40.71458858,-74.0089568,A
40.71403692,-74.00942686,A
40.71518432,-74.01286126,A
40.71531336,-74.00734236,A
40.71411978,-74.01285413,A
40.71376254,-74.01029405,A
40.71244092,-74.00911262,A
40.71683832,-74.0122037,A
40.71244092,-74.00911262,A
40.71593613,-74.01192257,A
40.71524626,-74.00855304,A
40.71501165,-74.01177195,A
40.71403692,-74.00942686,A
40.71589242,-74.00692394,A
40.71064548,-74.0100322,A
40.71536038,-74.00937514,A
40.71551335,-74.00596094,A
40.71376254,-74.01029405,A
40.71472482,-74.0075711,A
40.71370613,-74.00525032,A
40.71551335,-74.00596094,A
40.71376254,-74.01029405,A
40.71403692,-74.00942686,A
40.71403692,-74.00942686,A
40.71551335,-74.00596094,A
40.71403692,-74.00942686,A
40.71460002,-74.01053494,A
40.71501165,-74.01177195,A
40.71531336,-74.00734236,A
40.71403692,-74.00942686,A
40.71064548,-74.0100322,A
40.71621173,-74.01255389,A
40.71551335,-74.00596094,A
40.72902703,-73.98323668,A
40.72693726,-73.97828867,A
40.72262338,-73.98621695,A
40.72262338,-73.98621695,A
40.72923784,-73.97831885,A
40.72857739,-73.97880483,A
40.72215178,-73.98046814,A
40.72966619,-73.98261457,A
40.72849679,-73.98385074,A
40.72902163,-73.98423949,A
40.73209716,-73.97852169,A
40.72926474,-73.98180128,A
40.72950589,-73.98040502,A
40.72697129,-73.98008425,A
40.73366973,-73.97717002,A
40.72481328,-73.98066503,A
40.72347444,-73.98304708,A
40.72260059,-73.98476219,A
40.72255918,-73.98466269,A
40.72376362,-73.98231727,A
40.72688835,-73.98311615,A
40.72393138,-73.98489604,A
40.72393138,-73.98489604,A
40.72916936,-73.98413337,A
40.7305727,-73.98278473,A
40.72462104,-73.98189407,A
40.72249137,-73.9845,A
40.72673379,-73.98509034,A
40.72393138,-73.98489604,A
40.72376362,-73.98231727,A
40.73021957,-73.9820923,A
40.72371152,-73.97895252,A
40.72926474,-73.98180128,A
40.7211558,-73.97942668,A
40.730093,-73.98179373,A
40.72202232,-73.98148017,A
40.72504877,-73.98289797,A
40.72238572,-73.98234853,A
40.7212519,-73.98155368,A
40.72394546,-73.9840136,A
40.72343664,-73.98470728,A
40.72650198,-73.98468096,A
40.72460185,-73.98373968,A
40.72484899,-73.9812386,A
40.73432712,-73.98012758,A
40.72258839,-73.97895965,A
40.72288021,-73.98353248,A
40.72535207,-73.97635455,A
40.72481328,-73.98066503,A
40.72842228,-73.98353197,A
40.7257088,-73.97890558,A
40.72238572,-73.98234853,A
40.73138331,-73.97719458,A
40.72376408,-73.97984327,A
40.722435,-73.98427909,A
40.73068862,-73.98055648,A
40.72885022,-73.97832153,A
40.72863841,-73.98019002,A
40.72729265,-73.9845119,A
40.72481504,-73.97878857,A
40.72960329,-73.978517,A
40.72888119,-73.97877793,A
40.73027095,-73.9822135,A
40.72478696,-73.97673148,A
40.72894782,-73.98105261,A
40.72863841,-73.98019002,A
40.7313862,-73.97719115,A
40.72608599,-73.97994259,A
40.72465683,-73.98211803,A
40.73151721,-73.97432521,A
40.73004137,-73.98167186,A
40.72867633,-73.98041801,A
40.72415522,-73.97913449,A
40.73852088,-73.98769434,A
40.73907002,-73.98173271,A
40.73907002,-73.98173271,A
40.73874128,-73.98753249,A
40.74110724,-73.99244965,A
40.73905321,-73.98565603,A
40.73905321,-73.98565603,A
40.73920224,-73.98204008,A
40.74315247,-73.99127233,A
40.73789454,-73.98304172,A
40.73647724,-73.98147891,A
40.74444597,-73.99158581,A
40.73924285,-73.9862612,A
40.73647724,-73.98147891,A
40.73778235,-73.98264089,A
40.73977691,-73.98930015,A
40.74345116,-73.9919811,A
40.73635307,-73.98118538,A
40.73809965,-73.98076066,A
40.73838723,-73.98420227,A
40.74050291,-73.98909412,A
40.74399866,-73.99137316,A
40.74444597,-73.99158581,A
40.73852088,-73.98769434,A
40.73924285,-73.9862612,A
40.74308872,-73.98728321,A
40.73767753,-73.98253587,A
40.74063496,-73.99132714,A
40.74058216,-73.99134315,A
40.7402908,-73.98460854,A
40.73905321,-73.98565603,A
40.73840747,-73.98206271,A
40.74427895,-73.99023054,A
40.74444597,-73.99158581,A
40.74050291,-73.98909412,A
40.73855315,-73.98642884,A
40.73994333,-73.98644653,A
40.74377411,-73.98792744,A
40.73852088,-73.98769434,A
40.73911407,-73.98373875,A
40.73809965,-73.98076066,A
40.74063496,-73.99132714,A
40.73959066,-73.9810464,A
40.73669593,-73.9728976,A
40.74298407,-73.991014,A
40.73605228,-73.98047426,A
40.74026054,-73.98070442,A
40.73784069,-73.98390958,A
40.73979484,-73.98536241,A
40.73830693,-73.98354832,A
40.74345116,-73.9919811,A
40.73827868,-73.98394378,A
40.74063496,-73.99132714,A
40.73994333,-73.98644653,A
40.74063496,-73.99132714,A
40.74069917,-73.990252,A
40.74259193,-73.99213893,A
40.73778235,-73.98264089,A
40.74345116,-73.9919811,A
40.73852088,-73.98769434,A
40.74259193,-73.99213893,A
40.74330158,-73.98833799,A
40.73740948,-73.97983178,A
40.74044046,-73.99037915,A
40.74399866,-73.99137316,A
40.73669564,-73.98020746,A
40.73710388,-73.97404777,A
40.74255287,-73.99190407,A
40.74308872,-73.98728321,A
40.73849297,-73.99745063,A
40.73979983,-74.00059661,A
40.74036796,-73.99795966,A
40.74789042,-74.00266543,A
40.7437384,-74.00611223,A
40.74006386,-73.99738726,A
40.74202099,-73.99479675,A
40.73711008,-74.00030223,A
40.74279812,-73.99458443,A
40.73929428,-73.99738474,A
40.74387092,-73.99901963,A
40.74015925,-74.00225212,A
40.74036796,-73.99795966,A
40.74232262,-73.99897999,A
40.73500823,-73.99731006,A
40.73526778,-73.9980589,A
40.73839813,-74.00155172,A
40.74150647,-74.00251472,A
40.73326434,-73.99563829,A
40.74020937,-73.99211345,A
40.73325206,-73.99688485,A
40.74211751,-74.00076156,A
40.73639904,-74.00058688,A
40.73566387,-74.00053039,A
40.73265614,-73.99722331,A
40.73334874,-73.99904185,A
40.73711008,-74.00030223,A
40.73892862,-73.99638696,A
40.74581406,-74.0036301,A
40.73849297,-73.99745063,A
40.74371049,-73.99261385,A
40.73816025,-73.99650641,A
40.7383796,-73.99510495,A
40.74436277,-74.00563413,A
40.73648873,-73.99328599,A
40.73894681,-73.99935885,A
40.73301288,-73.99582186,A
40.73798695,-73.99825923,A
40.74015925,-74.00225212,A
40.73837264,-74.00149054,A
40.7324155,-73.9989618,A
40.74073479,-74.00276333,A
40.73648873,-73.99328599,A
40.7422336,-73.99890992,A
40.73714206,-73.99638671,A
40.73205701,-74.00005572,A
40.73798666,-73.99609603,A
40.73976404,-73.99837121,A
40.74018406,-74.00134025,A
40.73642616,-73.99882249,A
40.7437384,-74.00611223,A
40.74435921,-73.99632494,A
40.74492042,-74.00699116,A
40.74081417,-73.99723706,A
40.73849297,-73.99745063,A
40.73970248,-73.99836618,A
40.73562724,-73.99677898,A
40.73997195,-74.00099123,A
40.74043153,-74.00009704,A
40.73928053,-74.0014669,A
40.73591415,-73.99758407,A
40.7448941,-74.00507967,A
40.74268354,-73.99983821,A
40.73711008,-74.00030223,A
40.7372475,-73.99450682,A
40.74290269,-73.99496841,A
40.74399753,-73.99737955,A
40.73987338,-73.99318315,A
40.7397161,-74.00026745,A
40.73968075,-74.0024938,A
40.74086864,-73.99391361,A
40.7372475,-73.99450682,A
40.73301288,-73.99582186,A
40.73915702,-73.99705475,A
40.74127278,-74.00195422,A
40.73955965,-74.00212756,A
40.74492042,-74.00699116,A
40.74092586,-74.00161149,A
40.74019491,-73.99953671,A
40.73955454,-73.99989454,A
40.74212061,-73.99681519,A
40.73301288,-73.99582186,A
40.73822387,-73.99995774,A
40.74315632,-73.99554014,A
40.74387092,-73.99901963,A
40.73914709,-74.00115115,A
40.74565141,-74.00324906,A
40.74729539,-74.00123455,A
40.74848872,-74.00599966,A
40.7437384,-74.00611223,A
40.73976404,-73.99837121,A
40.73704281,-73.99402662,A
40.73648873,-73.99328599,A
40.74229936,-74.00270566,A
40.74461046,-73.99488819,A
40.74162566,-73.99563444,A
40.74231644,-73.99888025,A
40.73564999,-73.9949472,A
40.74268446,-73.9944577,A
40.74848872,-74.00599966,A
40.74086496,-74.0016565,A
40.74804029,-74.00508319,A
40.74309493,-73.99732398,A
40.74365685,-74.00033601,A
40.7458345,-73.99786805,A
40.7458345,-73.99786805,A
40.73619599,-73.99811674,A
40.74202099,-73.99479675,A
40.74804029,-74.00508319,A
40.74848872,-74.00599966,A
40.73270204,-73.99604448,A
40.74253267,-73.99585806,A
40.7458345,-73.99786805,A
40.74410582,-73.99778247,A
40.73950039,-73.99411815,A
40.7458345,-73.99786805,A
40.72873643,-73.99730998,A
40.72522613,-73.99472852,A
40.72127671,-73.99678812,A
40.7211602,-73.99473321,A
40.72439859,-74.00405707,A
40.72109657,-73.99652802,A
40.72587003,-74.00174803,A
40.72452042,-74.00395096,A
40.72345977,-73.99468359,A
40.72495749,-73.99828563,A
40.72100094,-73.99596368,A
40.72100094,-73.99596368,A
40.72336057,-73.99383895,A
40.72338454,-73.99582831,A
40.72820665,-73.99441931,A
40.7280075,-73.99570308,A
40.72941273,-73.99886214,A
40.72440349,-73.99428512,A
40.72576534,-73.99428093,A
40.72379555,-73.99373074,A
40.72208036,-73.99664856,A
40.7276459,-74.00278479,A
40.72143764,-73.99369277,A
40.72517488,-74.00331,A
40.72537546,-73.99287427,A
40.72251903,-73.99606082,A
40.72689711,-73.99291015,A
40.72443157,-74.00294941,A
40.72868472,-74.00013803,A
40.72358018,-74.00062846,A
40.72567729,-74.00197954,A
40.72220471,-73.99715424,A
40.72345512,-73.99659509,A
40.72162363,-73.99774399,A
40.72354845,-73.9937672,A
40.72449037,-74.00297162,A
