Coordinates,Y,X,Type
"43.001217401121, -71.072926405386",43.0012174,-71.07292641,A
"40.792117711558, -74.021609646521",40.79211771,-74.02160965,A
"40.782870701879, -74.004535933027",40.7828707,-74.00453593,A
"40.790215679812, -74.018038676129",40.79021568,-74.01803868,A
"40.752248843551, -74.001530182549",40.75224884,-74.00153018,A
"40.750740142889, -73.9978881618",40.75074014,-73.99788816,A
"40.753113646411, -74.003878037447",40.75311365,-74.00387804,A
"40.746159055618, -73.994685520416",40.74615906,-73.99468552,A
"40.747924200607, -74.000674641691",40.7479242,-74.00067464,A
"40.743867456855, -73.987436643039",40.74386746,-73.98743664,A
"40.746332980109, -73.987321934657",40.74633298,-73.98732193,A
"40.751140420675, -74.002526204103",40.75114042,-74.0025262,A
"40.748037021024, -73.989572224202",40.74803702,-73.98957222,A
"40.744871301344, -73.991272830845",40.7448713,-73.99127283,A
"40.748543707071, -74.003524656409",40.74854371,-74.00352466,A
"40.746159055618, -73.994685520416",40.74615906,-73.99468552,A
"40.748603218584, -74.003484171817",40.74860322,-74.00348417,A
"40.753131122679, -73.995778604409",40.75313112,-73.9957786,A
"40.744613097396, -73.992972427045",40.7446131,-73.99297243,A
"40.751888421714, -73.994761711915",40.75188842,-73.99476171,A
"40.746934800757, -73.986817344086",40.7469348,-73.98681734,A
"40.752050904907, -73.998954256065",40.7520509,-73.99895426,A
"40.746159055618, -73.994685520416",40.74615906,-73.99468552,A
"40.746159055618, -73.994685520416",40.74615906,-73.99468552,A
"40.746159055618, -73.994685520416",40.74615906,-73.99468552,A
"40.750289699412, -73.996696841901",40.7502897,-73.99669684,A
"40.752015617095, -74.002708845773",40.75201562,-74.00270885,A
"40.747576058259, -73.985234589309",40.74757606,-73.98523459,A
"40.753113646411, -74.003878037447",40.75311365,-74.00387804,A
"40.74864832551, -73.994971628428",40.74864833,-73.99497163,A
"40.746260770013, -73.993022969921",40.74626077,-73.99302297,A
"40.745097445671, -73.994936726054",40.74509745,-73.99493673,A
