Coordinates,Y,X,Type
"40.753131122679, -73.995778604409",40.75313112,-73.9957786,B
"40.751891984023, -74.002412461677",40.75189198,-74.00241246,B
"40.750535833999, -74.002159495839",40.75053583,-74.0021595,B
"40.752050904907, -73.998954256065",40.7520509,-73.99895426,B
"40.752050904907, -73.998954256065",40.7520509,-73.99895426,B
"40.751140420675, -74.002526204103",40.75114042,-74.0025262,B
"40.752050904907, -73.998954256065",40.7520509,-73.99895426,B
"40.75254108528, -73.997027433708",40.75254109,-73.99702743,B
"40.753131122679, -73.995778604409",40.75313112,-73.9957786,B
"40.753113646411, -74.003878037447",40.75311365,-74.00387804,B
"40.752050904907, -73.998954256065",40.7520509,-73.99895426,B
"40.752248843551, -74.001530182549",40.75224884,-74.00153018,B
"40.749997631996, -73.99615419749",40.74999763,-73.9961542,B
"40.752248843551, -74.001530182549",40.75224884,-74.00153018,B
"40.754904272386, -73.997772407717",40.75490427,-73.99777241,B
"40.753113646411, -74.003878037447",40.75311365,-74.00387804,B
"40.752936033883, -74.004078700209",40.75293603,-74.0040787,B
"40.745097445671, -73.994936726054",40.74509745,-73.99493673,B
"40.754018891954, -73.997864524833",40.75401889,-73.99786452,B
"40.7538019683, -74.003251657823",40.75380197,-74.00325166,B
"40.746813640346, -73.990351322103",40.74681364,-73.99035132,B
"40.752050904907, -73.998954256065",40.7520509,-73.99895426,B
"40.746159055618, -73.994685520416",40.74615906,-73.99468552,B
"40.752050904907, -73.998954256065",40.7520509,-73.99895426,B
"40.754904272386, -73.997772407717",40.75490427,-73.99777241,B
"40.752936033883, -74.004078700209",40.75293603,-74.0040787,B
"40.754018891954, -73.997864524833",40.75401889,-73.99786452,B
"40.751140420675, -74.002526204103",40.75114042,-74.0025262,B
"40.752248843551, -74.001530182549",40.75224884,-74.00153018,B
"40.751888421714, -73.994761711915",40.75188842,-73.99476171,B
"40.752050904907, -73.998954256065",40.7520509,-73.99895426,B
"40.75271294953, -73.997462780214",40.75271295,-73.99746278,B
