Coordinates,Y,X,Type
"40.753113646411, -74.003878037447",40.75311365,-74.00387804,B
"40.752536971472, -73.993250957687",40.75253697,-73.99325096,B
"40.7472134323, -73.993137521935",40.74721343,-73.99313752,B
"40.746813640346, -73.990351322103",40.74681364,-73.99035132,B
"40.747924200607, -74.000674641691",40.7479242,-74.00067464,B
"40.752557255678, -74.002241722309",40.75255726,-74.00224172,B
"40.752936033883, -74.004078700209",40.75293603,-74.0040787,B
"40.752557255678, -74.002241722309",40.75255726,-74.00224172,B
"40.751140420675, -74.002526204103",40.75114042,-74.0025262,B
"40.746159055618, -73.994685520416",40.74615906,-73.99468552,B
"40.746934800757, -73.986817344086",40.7469348,-73.98681734,B
"40.7538019683, -74.003251657823",40.75380197,-74.00325166,B
"40.753113646411, -74.003878037447",40.75311365,-74.00387804,B
"40.753113646411, -74.003878037447",40.75311365,-74.00387804,B
"40.746159055618, -73.994685520416",40.74615906,-73.99468552,B
"40.752248843551, -74.001530182549",40.75224884,-74.00153018,B
"40.752557255678, -74.002241722309",40.75255726,-74.00224172,B
"40.754081127585, -73.997870392165",40.75408113,-73.99787039,B
"40.74945360457, -73.998517391271",40.7494536,-73.99851739,B
"40.751888421714, -73.994761711915",40.75188842,-73.99476171,B
"40.754338493922, -73.996398110872",40.75433849,-73.99639811,B
"40.748078822887, -73.995212950426",40.74807882,-73.99521295,B
"40.754018891954, -73.997864524833",40.75401889,-73.99786452,B
"40.723314346151, -73.99125614855",40.72331435,-73.99125615,B
"40.721783307717, -73.987524776714",40.72178331,-73.98752478,B
"40.720677022226, -73.984274609938",40.72067702,-73.98427461,B
"40.719650155268, -73.989412381309",40.71965016,-73.98941238,B
"40.716999294589, -73.987192680003",40.71699929,-73.98719268,B
"40.722274654881, -73.988076054486",40.72227465,-73.98807605,B
"40.729940659706, -73.991846066896",40.72994066,-73.99184607,B
"40.732084834358, -73.9885024419",40.73208483,-73.98850244,B
"40.735109695576, -73.994226527398",40.7351097,-73.99422653,B
"40.733048711313, -73.990777709517",40.73304871,-73.99077771,B
"40.723579214291, -73.989098479035",40.72357921,-73.98909848,B
"40.731587284585, -73.990272196936",40.73158728,-73.9902722,B
"40.735621955588, -73.99264385644",40.73562196,-73.99264386,B
"40.735799316659, -73.993723529388",40.73579932,-73.99372353,B
"40.735613950871, -73.983080021098",40.73561395,-73.98308002,B
"40.730896699583, -73.995363364925",40.7308967,-73.99536336,B
"40.738373273396, -73.991848916743",40.73837327,-73.99184892,B
"40.730529949409, -73.984667721197",40.73052995,-73.98466772,B
"40.732451584531, -73.990065247747",40.73245158,-73.99006525,B
"40.733133158988, -73.993484980424",40.73313316,-73.99348498,B
"40.732451584531, -73.990065247747",40.73245158,-73.99006525,B
